"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL161381";"EMTRICITABINE, (+/-)-";"EMTRICITABINE, (+/-)-|RACIVIR";"Small molecule";"1";"247.25";"0";"";"-0.46";"90.37";"7";"2";"0";"2";"N";"0.73";"";"";"-0.90";"-0.90";"1";"MOL";"0";"16";"6";"3";"0";"247.0427";"";"C8H10FN3O3S";"Nc1nc(=O)n(C2CSC(CO)O2)cc1F"
"CHEMBL3392104";"Ammonium trichloro(dioxoethylene-O,O'-)tellurate";"";"Small molecule";"1";"312.05";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"0";"";"";"";"";"259.8651";"";"C2H8Cl3NO2Te";"Cl.Cl[Te]1(Cl)OCCO1.N"
"CHEMBL2104482";"TUCARESOL";"589-C|589C|TUCARESOL";"Small molecule";"2";"272.26";"0";"";"2.48";"83.83";"4";"2";"0";"5";"N";"0.82";"4.06";"";"3.26";"0.10";"2";"MOL";"0";"20";"5";"2";"0";"272.0685";"ACID";"C15H12O5";"O=Cc1c(O)cccc1OCc1ccc(C(=O)O)cc1"
"CHEMBL1200365";"AMINOHIPPURATE SODIUM";".RHO.-AMINOHIPPURIC ACID SODIUM SALT|AMINOHIPPURATE SODIUM|P-AMINOHIPPURATE SODIUM|PARA-AMINOHIPPURATE SODIUM [INJECTION]|SODIUM P-AMINOHIPPURATE";"Small molecule";"4";"216.17";"0";"";"0.08";"92.42";"3";"3";"0";"3";"N";"0.59";"2.70";"4.24";"-1.01";"-3.60";"1";"MOL";"0";"14";"5";"4";"0";"194.0691";"ACID";"C9H9N2NaO3";"Nc1ccc(C(=O)NCC(=O)[O-])cc1.[Na+]"
"CHEMBL2364637";"TENOFOVIR ALAFENAMIDE FUMARATE";"GS-7340 HEMIFUMARATE|GS-7340-03|TENOFOVIR ALAFENAMIDE FUMARATE|VEMLIDY";"Small molecule";"4";"1069.02";"0";"";"2.97";"143.48";"10";"2";"0";"11";"N";"0.31";"11.36";"3.74";"1.88";"1.88";"3";"MOL";"0";"33";"11";"3";"1";"476.1937";"NEUTRAL";"C46H62N12O14P2";"CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1.CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1.O=C(O)/C=C/C(=O)O"
"CHEMBL1200711";"OMEGA-3-ACID ETHYL ESTERS";"DOCONEXENT (DHA ETHYL ESTER)|DUALTIS|ICOSAPENT (EPA ETHYL ESTER)|K-85|K85|LOVAZA|NEBBARO|OMACOR|OMEGA-3 ACID ETHYL ESTERS|OMEGA-3 MARINE TRIGLYCERIDES|OMEGA-3-ACID ETHYL ESTERS|OMEGA-3-ACID ETHYL ESTERS TYPE A|OMTRYG|PRESTYLON|TAK-085|TEROMEG";"Small molecule";"4";"687.06";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"0";"";"";"";"";"686.5274";"";"C46H70O4";"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC"
"CHEMBL3301594";"FOSTEMSAVIR";"BMS-663068|FOSTEMSAVIR";"Small molecule";"3";"583.50";"0";"";"1.17";"182.21";"11";"2";"2";"8";"N";"0.17";"1.75";"0.97";"-0.13";"-2.62";"4";"MOL";"0";"41";"15";"2";"2";"583.1580";"ACID";"C25H26N7O8P";"COc1cnc(-n2cnc(C)n2)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2COP(=O)(O)O"
"CHEMBL3137343";"PEMBROLIZUMAB";"KEYLYNK-010 COMPONENT PEMBROLIZUMAB|KEYTRUDA|LAMBROLIZUMAB|MK-3475|PEMBROLIZUMAB|PEMBROLIZUMAB COMPONENT OF KEYLYNK-010|SCH-900475";"Antibody";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2108842";"ALVIRCEPT SUDOTOX";"ALVIRCEPT SUDOTOX|SCD4-PE40|U-85,855";"Protein";"1";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2108995";"CARBOMER 910";"BLEPHAGEL|CARBOMER|CARBOMER 910|CARBOPOL 910";"Small molecule";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2108658";"TREMELIMUMAB";"CP-675,206|TICILIMUMAB|TREMELIMUMAB|TREMELIMUMAB (GENETICAL RECOMBINATION)";"Antibody";"3";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2103793";"AGATOLIMOD SODIUM";"AGATOLIMOD SODIUM|AGATOLIMOD TRICOSASODIUM SALT|CPG 7909|PF-03512676|PF-3512676";"Oligonucleotide";"3";"8203.91";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"0";"";"";"";"";"7692.6640";"";"C236H280N70Na23O133P23S23";"Cc1cn([C@H]2C[C@H](O)[C@@H](COP([O-])(=S)O[C@H]3C[C@H](n4ccc(N)nc4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4ccc(N)nc4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4ccc(N)nc4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4ccc(N)nc4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP([O-])(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3CO)O2)c(=O)[nH]c1=O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]"
"CHEMBL2105801";"CELGOSIVIR HYDROCHLORIDE";"CELGOSIVIR HYDROCHLORIDE|MDL 28,574A";"Small molecule";"2";"295.76";"0";"";"-1.13";"90.23";"6";"3";"0";"3";"N";"0.56";"12.93";"8.19";"-0.97";"-1.82";"0";"MOL";"0";"18";"6";"3";"0";"259.1420";"NEUTRAL";"C12H22ClNO5";"CCCC(=O)O[C@H]1CN2CC[C@H](O)[C@@H]2[C@@H](O)[C@@H]1O.Cl"
"CHEMBL1743087";"VEDOLIZUMAB";"ENTYVIO|LDP-02|MLN-02|MLN0002|VEDOLIZUMAB";"Antibody";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2107862";"RINTATOLIMOD";"AMPLIGEN|RINTATOLIMOD";"Oligonucleotide";"3";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2107881";"REGRAMOSTIM";"GM-CSF|GM-CSF (CHO CELL)|GMC 89-107|REGRAMOSTIM|RHGM-C|RHGM-CSF";"Protein";"3";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2109343";"LERONLIMAB";"LERONLIMAB|PRO 140|PRO-140|PRO140";"Antibody";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2109442";"PRO-542";"PRO-542";"Antibody";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1628504";"RILPIVIRINE HYDROCHLORIDE";"EDURANT|RILPIVIRINE HYDROCHLORIDE|TMC278 HYDROCHLORIDE";"Small molecule";"4";"402.89";"0";"";"4.99";"97.42";"6";"2";"0";"5";"N";"0.62";"11.43";"4.44";"5.47";"5.47";"3";"MOL";"0";"28";"6";"2";"0";"366.1593";"NEUTRAL";"C22H19ClN6";"Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1.Cl"
"CHEMBL4297257";"ALBUVIRTIDE";"ALBUVIRTIDE|FB-006M";"Protein";"3";"4667.00";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"0";"";"";"";"";"4664.1943";"";"C204H306N54O72";"CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(=O)COCCOCCNC(=O)CCN1C(=O)C=CC1=O)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)[C@@H](C)CC)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O"
"CHEMBL3989867";"BICTEGRAVIR SODIUM";"BICTEGRAVIR SODIUM|GS-9883|GS-9883-01";"Small molecule";"4";"471.37";"0";"";"1.63";"100.87";"6";"2";"0";"3";"N";"0.74";"9.81";"";"1.36";"1.35";"2";"MOL";"0";"32";"8";"2";"0";"449.1199";"NEUTRAL";"C21H17F3N3NaO5";"O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c([O-])c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2.[Na+]"
"CHEMBL3989866";"BICTEGRAVIR";"BICTEGRAVIR|GS-9883|GS-9883-01";"Small molecule";"4";"449.39";"0";"";"1.63";"100.87";"6";"2";"0";"3";"N";"0.74";"9.81";"";"1.36";"1.35";"2";"MOL";"0";"32";"8";"2";"0";"449.1199";"NEUTRAL";"C21H18F3N3O5";"O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2"
"CHEMBL2360841";"RO-24-7429";"RO 24-7429|RO-24-7429";"Small molecule";"2";"272.74";"1";"2";"2.77";"52.54";"3";"2";"0";"1";"Y";"0.82";"";"6.86";"2.37";"2.26";"2";"MOL";"0";"19";"4";"2";"0";"272.0829";"NEUTRAL";"C14H13ClN4";"CNC1=Nc2ccc(Cl)cc2C(c2ccc[nH]2)=NC1"
"CHEMBL428647";"PACLITAXEL";"ABI-007|ABRAXANE|BMS 181339-01|BMS-181339-01|DHP 107|MBT 0206|NK 105|NSC-125973|PACITAXEL|PACLITAXEL|PAXENE|QW-8184|TAXOL|TAXOL 100";"Small molecule";"4";"853.92";"823";"5731";"3.74";"221.29";"14";"4";"2";"10";"N";"0.13";"11.90";"";"3.54";"3.54";"3";"MOL";"0";"62";"15";"4";"2";"853.3310";"NEUTRAL";"C47H51NO14";"CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C"
"CHEMBL1746";"SODIUM PHENYLBUTYRATE";"AMBUTYRATE|AMMONAPS|AMX-0035 COMPONENT SODIUM PHENYLBUTYRATE|AMX0035 COMPONENT SODIUM PHENYLBUTYRATE|BUPHENYL|NSC-657802|PHEBURANE|SODIUM PHENYLBUTYRATE";"Small molecule";"4";"186.19";"61";"89";"2.09";"37.30";"1";"1";"0";"4";"N";"0.74";"4.81";"";"2.50";"-0.04";"1";"MOL";"0";"12";"2";"1";"0";"164.0837";"ACID";"C10H11NaO2";"O=C([O-])CCCc1ccccc1.[Na+]"
"CHEMBL2206196";"PAROMOMYCIN SULFATE";"AMINOSIDINE SULFATE|CRESTOMYCIN SULFATE|ESTOMYCIN SULFATE|GABBRORAL|HUMATIN|PAROMOMYCIN SULFATE";"Small molecule";"4";"713.71";"10";"24";"-8.86";"347.32";"19";"13";"3";"9";"N";"0.11";"12.15";"9.59";"-8.31";"-13.96";"0";"MOL";"0";"42";"19";"18";"3";"615.2963";"BASE";"C23H47N5O18S";"NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O"
"CHEMBL1233940";"L 756423";"L 756423|L-756423";"Small molecule";"2";"652.84";"3";"6";"4.22";"118.28";"7";"4";"1";"11";"N";"0.19";"13.01";"7.18";"4.11";"3.89";"4";"MOL";"0";"48";"9";"4";"1";"652.3625";"NEUTRAL";"C39H48N4O5";"CC(C)(C)NC(=O)[C@@H]1CN(Cc2cc3ccccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O"
"CHEMBL114";"SAQUINAVIR";"FORTOVASE|Invirase|RO 31-8959/000|Ro-31-8959|SAQUINAVIR|SCH-52852";"Small molecule";"4";"670.86";"186";"1389";"3.09";"166.75";"7";"5";"1";"12";"N";"0.20";"13.61";"8.47";"3.16";"2.05";"3";"MOL";"0";"49";"11";"6";"3";"670.3843";"NEUTRAL";"C38H50N6O5";"CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1"
"CHEMBL2106991";"RALURIDINE";"935-U-83|935U83|RALURIDINE";"Small molecule";"1";"264.64";"3";"6";"-0.19";"84.32";"5";"2";"0";"2";"N";"0.78";"8.42";"";"0.04";"0.00";"1";"MOL";"0";"17";"6";"2";"0";"264.0313";"NEUTRAL";"C9H10ClFN2O4";"O=c1[nH]c(=O)n([C@H]2C[C@H](F)[C@@H](CO)O2)cc1Cl"
