"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Parent Molecule ChEMBL ID"
"CHEMBL38827";"LUMEFANTRINE";"Small molecule";"4";"2009";"";"CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1";"Ferriprotoporphyrin IX inhibitor";"";"";"CHEMBL613897";"Ferriprotoporphyrin IX";"INHIBITOR";"SMALL MOLECULE";"Plasmodium falciparum";"";"";"Type: DailyMed RefID: setid=7866ec19-dfac-47d4-a53f-511a12643cbf#nlm34090-1 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7866ec19-dfac-47d4-a53f-511a12643cbf#nlm34090-1|Type: Wikipedia RefID: Hemin URL: http://en.wikipedia.org/wiki/Hemin";"Lumefantrine (BAN, FDA, INN, JAN, MI, USAN, USP)|";"";"";"";"";"";"CHEMBL38827"
"CHEMBL547";"ISOTRETINOIN";"Small molecule";"4";"1982";"'-retin-'";"CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1";"Retinoic acid receptor agonist";"Prodrug. RARG/RXRA are predominant forms in skin";"";"CHEMBL2363069";"Retinoic acid receptor";"AGONIST";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: PubMed RefID: 20436884 URL: http://europepmc.org/abstract/MED/20436884";"Isotretinoin (BAN, FDA, INN, MI, USAN, USP)|Retinoic acid 13-cis-form (MI)|";"D10BA01 | D10AD54 | D10AD04";"D10BA - Retinoids for treatment of acne | D10AD - Retinoids for topical use in acne | D10AD - Retinoids for topical use in acne";"D10B - ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE";"D10 - ANTI-ACNE PREPARATIONS | D10 - ANTI-ACNE PREPARATIONS | D10 - ANTI-ACNE PREPARATIONS";"D - DERMATOLOGICALS | D - DERMATOLOGICALS | D - DERMATOLOGICALS";"CHEMBL547"
"CHEMBL70927";"DEFERIPRONE";"Small molecule";"4";"1999";"";"Cc1c(O)c(=O)ccn1C";"Unknown";"";"";"";"";"";"";"";"";"";"Type: FDA RefID: label/2012/021825s001lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021825s001lbl.pdf";"Deferiprone (BAN, FDA, INN, MI, USAN)|";"V03AC02";"V03AC - Iron chelating agents";"V03A - ALL OTHER THERAPEUTIC PRODUCTS";"V03 - ALL OTHER THERAPEUTIC PRODUCTS";"V - VARIOUS";"CHEMBL70927"
"CHEMBL1201187";"MARAVIROC";"Small molecule";"4";"2007";"'-vir-; -viroc'";"Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1";"C-C chemokine receptor type 5 antagonist";"";"";"CHEMBL274";"C-C chemokine receptor type 5";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=a94a9a2b-337b-4c13-8622-fc392194dc21 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a94a9a2b-337b-4c13-8622-fc392194dc21";"Maraviroc (FDA, INN, JAN, MI)|";"J05AX09";"J05AX - Other antivirals";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL1201187"
"CHEMBL109";"VALPROIC ACID";"Small molecule";"4";"1978";"";"CCCC(CCC)C(=O)O";"Succinate semialdehyde dehydrogenase inhibitor";"";"";"CHEMBL1911";"Succinate semialdehyde dehydrogenase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 10812195 URL: http://europepmc.org/abstract/MED/10812195";"Sodium Valproate (JAN)|Valproate Sodium (FDA, USAN, USP)|Valproic acid sodium salt (1:1) (MI)|Valproic acid (BAN, FDA, INN, MI, USAN, USP)|Divalproex Sodium (FDA, USAN, USP)|Semisodium Valproate (BAN)|Valproate Semisodium (INN)|Valproic acid sodium salt (2:1) (MI)|";"N03AG01";"N03AG - Fatty acid derivatives";"N03A - ANTIEPILEPTICS";"N03 - ANTIEPILEPTICS";"N - NERVOUS SYSTEM";"CHEMBL109"
"CHEMBL64";"ISONIAZID";"Small molecule";"4";"1952";"";"NNC(=O)c1ccncc1";"Enoyl-[acyl-carrier-protein] reductase inhibitor";"";"";"CHEMBL1849";"Enoyl-[acyl-carrier-protein] reductase";"INHIBITOR";"SINGLE PROTEIN";"Mycobacterium tuberculosis";"";"";"Type: PubMed RefID: 15273113 URL: http://europepmc.org/abstract/MED/15273113";"Isoniazid (BAN, FDA, INN, JAN, MI, USP)|";"J04AC51 | J04AC01";"J04AC - Hydrazides | J04AC - Hydrazides";"J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS | J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS";"J04 - ANTIMYCOBACTERIALS | J04 - ANTIMYCOBACTERIALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL64"
"CHEMBL991";"STAVUDINE";"Small molecule";"4";"1994";"'-vudine'";"Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O";"Human immunodeficiency virus type 1 reverse transcriptase inhibitor";"";"";"CHEMBL247";"Human immunodeficiency virus type 1 reverse transcriptase";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"Type: FDA RefID: label/2011/020412s038,020413s030lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020412s038,020413s030lbl.pdf";"Sanilvudine (JAN)|Stavudine (BAN, FDA, INN, MI, USAN, USP)|";"J05AF04";"J05AF - Nucleoside and nucleotide reverse transcriptase inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL991"
"CHEMBL1503";"OMEPRAZOLE";"Small molecule";"4";"1989";"'-prazole'";"COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1";"Potassium-transporting ATPase inhibitor";"";"";"CHEMBL2095173";"Potassium-transporting ATPase";"INHIBITOR";"PROTEIN COMPLEX";"Homo sapiens";"K-ATPase alpha subunit";"Alpha subunit is likely binding site";"Type: FDA RefID: label/2012/019810s095,022056s011lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/019810s095,022056s011lbl.pdf|Type: PubMed RefID: 10411559 URL: http://europepmc.org/abstract/MED/10411559|Type: PubMed RefID: 18925391 URL: http://europepmc.org/abstract/MED/18925391|Type: PubMed RefID: 19120905 URL: http://europepmc.org/abstract/MED/19120905";"Omeprazole Sodium (JAN, USAN)|Omeprazole (BAN, FDA, INN, JAN, MI, USAN, USP)|Omeprazole magnesium (FDA, USAN)|Omeprazole Magnesium (USP)|Omeprazole magnesium salt (MI)|";"A02BC01";"A02BC - Proton pump inhibitors";"A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)";"A02 - DRUGS FOR ACID RELATED DISORDERS";"A - ALIMENTARY TRACT AND METABOLISM";"CHEMBL1503"
"CHEMBL1201670";"SARGRAMOSTIM";"Protein";"4";"1991";"'-stim'";"";"Granulocyte-macrophage colony-stimulating factor receptor agonist";"";"";"CHEMBL2364169";"Granulocyte-macrophage colony-stimulating factor receptor";"AGONIST";"PROTEIN COMPLEX";"Homo sapiens";"GMCSF receptor alpha subunit";"Alpha subunit is binding site";"Type: DailyMed RefID: setid=04765fbf-f005-43aa-a628-5cc3d80f91e7 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=04765fbf-f005-43aa-a628-5cc3d80f91e7|Type: PubMed RefID: 18692472 URL: http://europepmc.org/abstract/MED/18692472";"Sargramostim (BAN, FDA, INN, JAN, USAN, USP)|";"L03AA09";"L03AA - Colony stimulating factors";"L03A - IMMUNOSTIMULANTS";"L03 - IMMUNOSTIMULANTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL1201670"
"CHEMBL569";"PROCAINE";"Small molecule";"4";"1954";"'-caine'";"CCN(CC)CCOC(=O)c1ccc(N)cc1";"Sodium channel alpha subunit blocker";"";"";"CHEMBL2331043";"Sodium channel alpha subunit";"BLOCKER";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: ISBN RefID: 9780702034718 PP. 525 URL: http://www.isbnsearch.org/isbn/9780702034718|Type: PubMed RefID: 2167458 URL: http://europepmc.org/abstract/MED/2167458|Type: PubMed RefID: 8581044 URL: http://europepmc.org/abstract/MED/8581044|Type: PubMed RefID: 9768788 URL: http://europepmc.org/abstract/MED/9768788|Type: Wikipedia RefID: Procaine URL: http://en.wikipedia.org/wiki/Procaine";"Procaine HCl (FDA, JAN, MI, USP)|Procaine (BAN, INN, MI)|";"N01BA52 | S01HA05 | N01BA02 | C05AD05";"N01BA - Esters of aminobenzoic acid | S01HA - Local anesthetics | N01BA - Esters of aminobenzoic acid | C05AD - Local anesthetics";"N01B - ANESTHETICS, LOCAL | S01H - LOCAL ANESTHETICS | N01B - ANESTHETICS, LOCAL | C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE";"N01 - ANESTHETICS | S01 - OPHTHALMOLOGICALS | N01 - ANESTHETICS | C05 - VASOPROTECTIVES";"N - NERVOUS SYSTEM | S - SENSORY ORGANS | N - NERVOUS SYSTEM | C - CARDIOVASCULAR SYSTEM";"CHEMBL569"
"CHEMBL1401";"NITAZOXANIDE";"Small molecule";"4";"2002";"'-oxanide'";"CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1";"Pyruvate:ferredoxin oxidoreductase inhibitor";"";"";"CHEMBL2364026";"Pyruvate:ferredoxin oxidoreductase";"INHIBITOR";"SINGLE PROTEIN";"Cryptosporidium parvum";"";"";"Type: DailyMed RefID: setid=56b1575a-dff4-4c5a-a159-2f858e7a0cb8 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=56b1575a-dff4-4c5a-a159-2f858e7a0cb8";"Nitazoxanide (BAN, FDA, INN, MI, USAN, USP)|";"P01AX11";"P01AX - Other agents against amoebiasis and other protozoal diseases";"P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES";"P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"CHEMBL1401"
"CHEMBL343448";"ROMIDEPSIN";"Protein";"4";"2009";"'-depsin'";"C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O";"Histone deacetylase inhibitor";"";"";"CHEMBL2093865";"Histone deacetylase";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=03b39d40-90fe-11df-9de6-0002a5d5c51b#section-13 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=03b39d40-90fe-11df-9de6-0002a5d5c51b#section-13|Type: Wikipedia RefID: Histone_deacetylase_inhibitor URL: http://en.wikipedia.org/wiki/Histone_deacetylase_inhibitor|Type: Wikipedia RefID: Romidepsin URL: http://en.wikipedia.org/wiki/Romidepsin";"Romidepsin (FDA, INN, JAN, MI, USAN)|";"L01XX39";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL343448"
"CHEMBL1131";"ACITRETIN";"Small molecule";"4";"1996";"'-retin'";"COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C";"Retinoid receptor agonist";"Precise mechanism uncertain. RARG/RXRA are predominant forms in skin";"";"CHEMBL2363071";"Retinoid receptor";"AGONIST";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: PubMed RefID: 10459139 URL: http://europepmc.org/abstract/MED/10459139|Type: PubMed RefID: 9074840 URL: http://europepmc.org/abstract/MED/9074840|Type: PubMed RefID: 9153406 URL: http://europepmc.org/abstract/MED/9153406";"Acitretin (BAN, FDA, INN, MI, USAN, USP)|";"D05BB02";"D05BB - Retinoids for treatment of psoriasis";"D05B - ANTIPSORIATICS FOR SYSTEMIC USE";"D05 - ANTIPSORIATICS";"D - DERMATOLOGICALS";"CHEMBL1131"
"CHEMBL1389";"LEVONORGESTREL";"Small molecule";"4";"1982";"'-estr-; -gest-'";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC";"Progesterone receptor agonist";"";"";"CHEMBL208";"Progesterone receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 19434887 URL: http://europepmc.org/abstract/MED/19434887|Type: Wikipedia RefID: Levonorgestrel URL: http://en.wikipedia.org/wiki/Levonorgestrel";"Levonorgestrel (BAN, FDA, INN, JAN, USAN, USP)|Norgestrel (-)-form (MI)|";"G03AC03 | G03AD01";"G03AC - Progestogens | G03AD - Emergency contraceptives";"G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE | G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE";"G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM | G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM";"G - GENITO URINARY SYSTEM AND SEX HORMONES | G - GENITO URINARY SYSTEM AND SEX HORMONES";"CHEMBL1389"
"CHEMBL1200711";"OMEGA-3-ACID ETHYL ESTERS";"Small molecule";"4";"2004";"'-ster-'";"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC";"Unknown";"Mode of action not fully understood; it seems to increase beta-oxidation, inhibit acyl-CoA:1,2-diacylglycerol acyltransferase (EC 2.3.1.20), decreas lipogenesis in the liver, and increase plasma lipoprotein lipase activity";"";"";"";"";"";"";"";"";"Type: DailyMed RefID: setid=5ada82f0-a5fd-46c9-aecc-f106f614c9f0 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5ada82f0-a5fd-46c9-aecc-f106f614c9f0";"Doconexent (Dha Ethyl Ester) (INN)|Icosapent (Epa Ethyl Ester) (INN)|Omega-3 acid ethyl esters (MI)|Omega-3 marine triglycerides (BAN)|Omega-3-Acid Ethyl Esters (FDA, USP)|Omega-3-acid ethyl esters (USAN)|Omega-3-acid ethyl esters type A (FDA)|";"C10AX06";"C10AX - Other lipid modifying agents";"C10A - LIPID MODIFYING AGENTS, PLAIN";"C10 - LIPID MODIFYING AGENTS";"C - CARDIOVASCULAR SYSTEM";"CHEMBL1200711"
"CHEMBL36";"PYRIMETHAMINE";"Small molecule";"4";"1953";"";"CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1";"Dihydrofolate reductase inhibitor";"";"";"CHEMBL1939";"Dihydrofolate reductase";"INHIBITOR";"SINGLE PROTEIN";"Plasmodium falciparum K1";"";"";"Type: DailyMed RefID: setid=3e4d5027-7939-480f-ae19-82e764d9fa97 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3e4d5027-7939-480f-ae19-82e764d9fa97|Type: Wikipedia RefID: Pyrimethamine URL: http://en.wikipedia.org/wiki/Pyrimethamine";"Pyrimethamine (BAN, FDA, INN, JAN, MI, USP)|";"P01BD01 | P01BD51";"P01BD - Diaminopyrimidines | P01BD - Diaminopyrimidines";"P01B - ANTIMALARIALS | P01B - ANTIMALARIALS";"P01 - ANTIPROTOZOALS | P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"CHEMBL36"
